"Column1","Location","Period","Indicator","Count"
2386,Turkey,2009,"Nursing and midwifery personnel (per 10,000)",21.67
2387,Turkey,2008,"Nursing and midwifery personnel (per 10,000)",20.96
2388,Turkey,2007,"Nursing and midwifery personnel (per 10,000)",20.38
2410,Turkmenistan,2010,"Nursing and midwifery personnel (per 10,000)",45.14
2411,Turkmenistan,2009,"Nursing and midwifery personnel (per 10,000)",45.03
2412,Turkmenistan,2008,"Nursing and midwifery personnel (per 10,000)",45.41
2423,Tuvalu,2008,"Nursing and midwifery personnel (per 10,000)",62.05
2439,Ukraine,2010,"Nursing and midwifery personnel (per 10,000)",74.72
2440,Ukraine,2009,"Nursing and midwifery personnel (per 10,000)",75.44
2441,Ukraine,2008,"Nursing and midwifery personnel (per 10,000)",66.08
2442,Ukraine,2007,"Nursing and midwifery personnel (per 10,000)",66.47
2458,United Arab Emirates,2010,"Nursing and midwifery personnel (per 10,000)",26.53
2460,United Arab Emirates,2008,"Nursing and midwifery personnel (per 10,000)",28.18
2461,United Arab Emirates,2007,"Nursing and midwifery personnel (per 10,000)",29.8
2487,United Kingdom of Great Britain and Northern Ireland,2010,"Nursing and midwifery personnel (per 10,000)",87.89
2488,United Kingdom of Great Britain and Northern Ireland,2009,"Nursing and midwifery personnel (per 10,000)",89.04
2489,United Kingdom of Great Britain and Northern Ireland,2008,"Nursing and midwifery personnel (per 10,000)",91.01
2490,United Kingdom of Great Britain and Northern Ireland,2007,"Nursing and midwifery personnel (per 10,000)",91.13
2505,United States of America,2010,"Nursing and midwifery personnel (per 10,000)",125.9
2507,Uruguay,2008,"Nursing and midwifery personnel (per 10,000)",58.66
2517,Uzbekistan,2007,"Nursing and midwifery personnel (per 10,000)",108.7
2538,Vanuatu,2007,"Nursing and midwifery personnel (per 10,000)",15.67
2549,Viet Nam,2010,"Nursing and midwifery personnel (per 10,000)",12.33
2550,Viet Nam,2009,"Nursing and midwifery personnel (per 10,000)",11.08
2552,Viet Nam,2007,"Nursing and midwifery personnel (per 10,000)",9.5
2563,Yemen,2010,"Nursing and midwifery personnel (per 10,000)",7.17
2570,Zambia,2010,"Nursing and midwifery personnel (per 10,000)",7.3
2571,Zambia,2009,"Nursing and midwifery personnel (per 10,000)",7.19
2572,Zambia,2008,"Nursing and midwifery personnel (per 10,000)",7.08
2584,Zimbabwe,2009,"Nursing and midwifery personnel (per 10,000)",9.49
